"orig.ident","nCount_RNA","nFeature_RNA","main_cell_type.pred","main_cell_type.pred_prob","UMAP1","UMAP2","celltype.pred.combined","Monocyte.pred","Monocyte.pred_prob","Monocyte.UMAP1","Monocyte.UMAP2","T cell.pred","T cell.pred_prob","T cell.UMAP1","T cell.UMAP2"
"Pan",5209,2461,"NK cell",1,11.4611721038818,10.8311519622803,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4523,1942,"NK cell",1,11.5595207214355,10.5566301345825,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3327,1463,"NK cell",1,10.9165468215942,10.3499450683594,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4973,1954,"NK cell",1,11.1138114929199,10.3362808227539,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4315,1624,"NK cell",1,11.1930208206177,10.2524366378784,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3168,1529,"NK cell",1,11.3830518722534,10.2677326202393,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5254,2066,"NK cell",1,11.2200355529785,10.5528240203857,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6117,2314,"NK cell",1,11.6113090515137,10.3640060424805,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5926,2538,"NK cell",1,11.2799463272095,10.9824695587158,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2884,1386,"NK cell",1,10.8494901657104,10.4965753555298,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3736,1640,"NK cell",1,10.8715829849243,10.3981056213379,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",9882,2933,"NK cell",1,10.6787910461426,10.7241659164429,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2206,1029,"NK cell",0.8,10.6457242965698,10.1035871505737,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5570,2276,"NK cell",1,11.5322179794312,10.6107482910156,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6306,2471,"NK cell",1,11.4403505325317,10.7687034606934,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4619,1776,"NK cell",1,10.9293880462646,10.4630317687988,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4762,2111,"NK cell",1,11.5632343292236,10.5990695953369,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3358,1452,"NK cell",0.8,10.5892887115479,10.3632164001465,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4394,1738,"NK cell",1,11.116641998291,10.2614030838013,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4688,1936,"NK cell",1,10.633885383606,10.4635486602783,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4567,1641,"NK cell",0.8,10.4968423843384,10.3489408493042,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3680,1784,"NK cell",1,11.0860729217529,10.5102071762085,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4823,2012,"NK cell",1,11.3419246673584,10.6668567657471,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3133,1655,"NK cell",1,11.3075332641602,10.7589073181152,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4457,1772,"NK cell",1,11.4167242050171,10.32555103302,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5780,2149,"NK cell",1,10.8621072769165,10.4393682479858,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4730,1946,"NK cell",1,11.3894720077515,10.3054218292236,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3906,1784,"NK cell",1,10.9164581298828,10.5984163284302,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5680,2116,"NK cell",1,11.4495334625244,10.7319955825806,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",7713,1964,"NK cell",1,10.5085000991821,10.3626270294189,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
